salary,hra,lta,invest_80C,invest_80D,home_loan_interest,rent_paid,other_income,standard_deduction,taxable_income,final_tax
2469110,624286,25797,84316,47474,94134,19305,6430,50000,1601126,292837
2479084,440469,16946,55565,645,187500,109533,143377,50000,1905227,384068
1942743,478389,44737,63892,17041,161026,23560,39535,50000,1256666,189500
360268,73305,14917,68766,37824,90849,50820,24254,50000,78694,0
982180,147636,8054,61368,48563,72015,55835,31207,50000,641858,40871
2484489,207184,49113,37481,34314,192269,160281,82423,50000,2094776,440932
1820006,659103,29770,118536,40169,125795,9669,193152,50000,1049324,127297
2253274,121633,42715,10043,32645,92738,38486,296096,50000,2285025,498007
1386074,70105,11029,125751,49146,88175,122571,41810,50000,1055735,129220
1489911,505644,7500,56279,18628,177393,30341,7946,50000,697412,51982
528167,210677,41704,16782,6167,21637,177114,9693,50000,274300,1215
2388242,727186,48558,22103,7919,173071,30620,18076,50000,1474596,254879
579365,32065,30651,135174,49954,179123,69563,288206,50000,451905,10095
1037201,134153,41329,64053,34017,184935,79592,66394,50000,677765,48053
1620455,632200,14229,140373,24937,86524,55498,165115,50000,865764,85652
2016891,671647,38654,113142,43521,196556,84745,293533,50000,1274211,194763
577069,143332,41425,22427,27891,36148,133862,249122,50000,587817,30063
2075573,275846,31993,26368,43659,152484,32444,42522,50000,1601730,293019
1041743,57326,28069,39674,38833,50135,89042,235093,50000,1068936,133180
353355,20247,29584,25963,10018,32768,32482,73489,50000,317431,3371
1512752,399658,33240,41245,44892,27119,34906,136665,50000,1119742,148422
1646025,94878,9488,147962,6916,178844,153910,224820,50000,1401732,233019
1720485,684358,23516,71579,18794,153434,107219,90789,50000,856624,83824
1239436,141524,45228,129327,28787,197005,94204,249052,50000,987072,109914
1557371,465260,16619,64411,45626,79615,62372,130051,50000,999128,112325
1167040,121688,5165,53093,43189,87886,16173,55597,50000,871945,86889
1798762,429962,1678,89336,37478,159945,71677,67422,50000,1101140,142842
2169486,169684,20712,126435,48844,122519,29230,274972,50000,1947687,396806
904811,288066,22944,107153,45342,60431,58976,106023,50000,482785,11639
777035,197928,6064,91923,37144,82588,29709,66815,50000,390330,7016
898143,71993,16649,96263,18026,81288,102261,289105,50000,886326,89765
1750942,607585,6333,23385,8894,39587,32624,235728,50000,1263551,191565
315725,76233,2404,41015,45620,137802,155711,284460,50000,251918,95
334654,124677,41098,43558,38436,97298,113763,101436,50000,123218,0
1203277,446196,29218,56275,48998,181647,32891,155719,50000,605097,33519
2204354,820411,46584,124730,39904,167688,193505,281415,50000,1329619,211385
778178,60094,30177,39569,11818,123179,166328,134900,50000,658594,44218
1555416,143619,15711,70753,38274,10420,116108,289479,50000,1547539,276761
1715689,678893,9557,23294,10798,28122,174549,248221,50000,1182359,167207
318148,70202,16003,34345,33849,66145,198241,168179,50000,247788,0
2075665,276841,47988,127540,9449,72266,77831,32129,50000,1619685,298405
506508,161769,32577,123936,18391,143826,89100,121804,50000,162966,0
1053591,150136,18336,141588,49282,78535,75324,262579,50000,864964,85492
1146942,349273,41032,144827,31302,116906,134327,102883,50000,598548,32209
2453682,841735,49314,22157,39166,1903,136552,124861,50000,1672895,314368
854365,277234,40741,109443,18455,76755,29960,31557,50000,394775,7238
2120928,309478,49374,134273,10853,79656,87848,45985,50000,1632026,302107
2023415,385595,49336,14910,14184,143370,85134,80414,50000,1545105,276031
2305555,448748,49246,8301,31915,140,128256,186748,50000,2002444,413233
1055889,234349,683,92756,38709,134352,142080,223204,50000,729609,58421
1758349,190922,44340,26737,28570,129962,162237,179458,50000,1555955,279286
1613715,336240,975,64627,8314,59862,103524,109363,50000,1205009,174002
1470405,336390,11411,42646,28945,188725,39301,274430,50000,1109539,145361
521836,123204,48446,75335,15614,141195,180480,156398,50000,321331,3566
2345505,790353,23730,32152,20647,93146,1170,18861,50000,1401797,233039
